Time,Event context,Component,Event name,Description
"22/02/21, 14:08",Wiki: ????? ?a ???? ?? ?????? (40 ?.),Wiki,Course module viewed,The user with id '8408' viewed the 'wiki' activity with course module id '5135'.
"22/02/21, 14:08",Course: Semantic Web,System,Course viewed,The user with id '8408' viewed the course with id '130'.
"22/02/21, 14:05",Course: Semantic Web,System,Course viewed,The user with id '8390' viewed the course with id '130'.
"22/02/21, 14:03",Course: Semantic Web,System,Course viewed,The user with id '8453' viewed the course with id '130'.
"22/02/21, 14:02",File: ?????? 7: ??????????? ?? ????????? ? Prot�g�,File,Course module viewed,The user with id '8390' viewed the 'resource' activity with course module id '4727'.
"22/02/21, 14:01",Course: Semantic Web,System,Course viewed,The user with id '8390' viewed the course with id '130'.
"22/02/21, 14:01",File: ?????? 9: ???????????? ?? ?????????? ???,File,Course module viewed,The user with id '8390' viewed the 'resource' activity with course module id '4768'.
"22/02/21, 14:01",Course: Semantic Web,System,Course viewed,The user with id '8390' viewed the course with id '130'.
"22/02/21, 14:01",File: ?????? 1: ????????? ? ???????????? ?? ?????????? ???,File,Course module viewed,The user with id '8421' viewed the 'resource' activity with course module id '969'.
"22/02/21, 13:47",Course: Semantic Web,System,Course viewed,The user with id '8444' viewed the course with id '130'.
"22/02/21, 13:39",File: ?????? 10: Oracle Spatial and Graph Graph Overview,File,Course module viewed,The user with id '8443' viewed the 'resource' activity with course module id '4769'.
"22/02/21, 13:39",File: ?????? 9: ???????????? ?? ?????????? ???,File,Course module viewed,The user with id '8443' viewed the 'resource' activity with course module id '4768'.
"22/02/21, 13:39",File: ?????? 8: ???? ?? ?????? SPARQL,File,Course module viewed,The user with id '8443' viewed the 'resource' activity with course module id '4767'.
"22/02/21, 13:39",File: ?????? 7: ??????????? ?? ????????? ? Prot�g�,File,Course module viewed,The user with id '8443' viewed the 'resource' activity with course module id '4727'.
"22/02/21, 13:39",File: ?????? 6: ??????????? ?? ?????????,File,Course module viewed,The user with id '8443' viewed the 'resource' activity with course module id '4716'.
"22/02/21, 13:39",File: ?????? 5: Description Logics (DL). Ontology Reasoning.,File,Course module viewed,The user with id '8443' viewed the 'resource' activity with course module id '4715'.
"22/02/21, 13:39",File: ?????? 4: ???????? OWL,File,Course module viewed,The user with id '8443' viewed the 'resource' activity with course module id '1000'.
"22/02/21, 13:39",File: ?????? 3: ?????????? ?? ????????????. ????????? RDF ? RDFS.,File,Course module viewed,The user with id '8443' viewed the 'resource' activity with course module id '970'.
"22/02/21, 13:39",File: ?????? 2: ???????? XML ,File,Course module viewed,The user with id '8443' viewed the 'resource' activity with course module id '4695'.
"22/02/21, 13:39",File: ?????? 1: ????????? ? ???????????? ?? ?????????? ???,File,Course module viewed,The user with id '8443' viewed the 'resource' activity with course module id '969'.
"22/02/21, 13:39",Course: Semantic Web,System,Course viewed,The user with id '8443' viewed the course with id '130'.
"22/02/21, 13:36",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8444' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 13:36",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8444' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 13:36",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,A submission has been submitted.,The user with id '8444' has submitted the submission with id '22303' for the assignment with course module id '4717'.
"22/02/21, 13:36",Assignment: ??????? ?? ??????? ?????? ? ???????,File submissions,Submission updated.,The user with id '8444' updated a file submission and uploaded '2' file/s in the assignment with course module id '4717'.
